Year	TeamID	Team	AwardTitle	AwardType	AwardSubType	AwardDecision	AwardGroup	AwardIcon
2009	233	IBB_Pune	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2009	275	IGIB-Delhi						
2009	255	IIT_Bombay_India	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2009	272	IIT_Madras	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2009	266	IPN-UNAM-Mexico	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	287	IPOC1-Colombia						
2009	288	IPOC2-Colombia						
2009	252	Illinois	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2009	261	Illinois-Tools	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	200	Imperial College London	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	280	Indiana						
2009	263	Johns_Hopkins						
2009	277	Johns_Hopkins-BAG	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	238	KULeuven	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	271	KU_Seoul						
2009	210	Kyoto	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2009	242	LCG-UNAM-Mexico	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2009	249	Lethbridge	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	258	METU-Gene	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2009	181	MIT	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2009	290	McGill	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2009	270	Michigan	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2009	202	Minnesota	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	269	Missouri_Miners						
2009	199	MoWestern_Davidson	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	188	NCTU_Formosa	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2009	256	NTU-Singapore	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	195	NYMU-Taipei	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2009	276	NYU						
2009	262	Nevada	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2009	174	Newcastle	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	204	Osaka	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	228	PKU_Beijing	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	257	Paris	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	217	Purdue						
2009	214	Queens	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2009	278	Rice						
2009	237	SDU-Denmark	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2009	185	SJTU-BioX-Shanghai	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	246	Sheffield						
2009	245	Slovenia	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	180	Southampton	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2009	223	Stanford	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	292	SupBiotech-Paris	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2009	240	Sweden	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2009	175	TUDelft	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	291	TU_Munich						
2009	289	Tianjin	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2009	179	Todai-Tokyo	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
